robot_x,robot_y,robot_yaw_deg,robot_vel_x,robot_vel_y,velocity_magnitude,distance_to_hub,pitch_deg,flywheel_speed,lateral_error
3.168,1.614,0.0,1.5,3.0,3.3541019662496847,3.1166852022621727,50.0,6.326530612244898,0.8828280758466244
3.168,1.614,0.0,2.25,3.0,3.75,3.1166852022621727,50.0,6.326530612244898,0.7838913331620033
3.168,1.614,0.0,3.0,3.0,4.242640687119285,3.1166852022621727,50.0,6.326530612244898,0.8577991900564397
3.168,3.228,0.0,0.0,0.0,0.0,1.6255675470431858,50.0,6.326530612244898,0.7592472074759352
3.168,3.228,0.0,0.0,0.75,0.75,1.6255675470431858,50.0,6.326530612244898,1.1337020980836245
3.168,3.228,0.0,0.0,1.5,1.5,1.6255675470431858,50.0,6.326530612244898,1.4663955560635376
3.168,3.228,0.0,0.0,2.25,2.25,1.6255675470431858,50.0,6.326530612244898,1.744124089065731
3.168,3.228,0.0,0.0,3.0,3.0,1.6255675470431858,50.0,6.326530612244898,2.0622395143269827
3.168,3.228,0.0,0.75,0.0,0.75,1.6255675470431858,50.0,6.326530612244898,0.8588055938433935
3.168,3.228,0.0,0.75,0.75,1.0606601717798212,1.6255675470431858,50.0,6.326530612244898,1.2707096790778527
3.168,3.228,0.0,0.75,1.5,1.6770509831248424,1.6255675470431858,50.0,6.326530612244898,1.6783534469346113
3.168,3.228,0.0,0.75,2.25,2.3717082451262845,1.6255675470431858,50.0,6.326530612244898,2.0530622963138208
3.168,3.228,0.0,0.75,3.0,3.092329219213245,1.6255675470431858,50.0,6.326530612244898,2.3307423476640436
3.168,3.228,0.0,1.5,0.0,1.5,1.6255675470431858,50.0,6.326530612244898,0.8438780780040417
3.168,3.228,0.0,1.5,0.75,1.6770509831248424,1.6255675470431858,50.0,6.326530612244898,1.258327794759857
3.168,3.228,0.0,1.5,1.5,2.1213203435596424,1.6255675470431858,50.0,6.326530612244898,1.6729700635608162
3.168,3.228,0.0,1.5,2.25,2.704163456597992,1.6255675470431858,50.0,6.326530612244898,2.087690157579
3.168,3.228,0.0,1.5,3.0,3.3541019662496847,1.6255675470431858,50.0,6.326530612244898,2.5024493842053723
3.168,3.228,0.0,2.25,0.0,2.25,1.6255675470431858,50.0,6.326530612244898,0.920452775756717
3.168,3.228,0.0,2.25,0.75,2.3717082451262845,1.6255675470431858,50.0,6.326530612244898,1.3109126366496184
3.168,3.228,0.0,2.25,1.5,2.704163456597992,1.6255675470431858,50.0,6.326530612244898,1.7128724224042873
3.168,3.228,0.0,2.25,2.25,3.181980515339464,1.6255675470431858,50.0,6.326530612244898,2.119800296234218
3.168,3.228,0.0,2.25,3.0,3.75,1.6255675470431858,50.0,6.326530612244898,2.529299512191527
3.168,3.228,0.0,3.0,0.0,3.0,1.6255675470431858,50.0,6.326530612244898,0.600206791110518
3.168,3.228,0.0,3.0,0.75,3.092329219213245,1.6255675470431858,50.0,6.326530612244898,1.4824899354687617
3.168,3.228,0.0,3.0,1.5,3.3541019662496847,1.6255675470431858,50.0,6.326530612244898,1.8474892160095686
3.168,3.228,0.0,3.0,2.25,3.75,1.6255675470431858,50.0,6.326530612244898,2.2299860456409135
3.168,3.228,0.0,3.0,3.0,4.242640687119285,1.6255675470431858,50.0,6.326530612244898,2.6223349309748394
3.168,4.8420000000000005,0.0,0.0,0.0,0.0,0.8838580485575724,50.0,6.326530612244898,1.6499738455495971
3.168,4.8420000000000005,0.0,0.0,0.75,0.75,0.8838580485575724,50.0,6.326530612244898,1.399339631432457
3.168,4.8420000000000005,0.0,0.0,1.5,1.5,0.8838580485575724,50.0,6.326530612244898,1.0903734208677862
3.168,4.8420000000000005,0.0,0.0,2.25,2.25,0.8838580485575724,50.0,6.326530612244898,0.8705396744966097
3.168,4.8420000000000005,0.0,0.75,0.0,0.75,0.8838580485575724,50.0,6.326530612244898,1.9824065491709197
3.168,4.8420000000000005,0.0,0.75,0.75,1.0606601717798212,0.8838580485575724,50.0,6.326530612244898,1.676454032230339
3.168,4.8420000000000005,0.0,0.75,1.5,1.6770509831248424,0.8838580485575724,50.0,6.326530612244898,1.4266190395978313
3.168,4.8420000000000005,0.0,0.75,2.25,2.3717082451262845,0.8838580485575724,50.0,6.326530612244898,1.0374252368050547
3.168,4.8420000000000005,0.0,1.5,0.0,1.5,0.8838580485575724,50.0,6.326530612244898,2.2628399809487068
3.168,4.8420000000000005,0.0,1.5,0.75,1.6770509831248424,0.8838580485575724,50.0,6.326530612244898,2.000251777993348
3.168,4.8420000000000005,0.0,1.5,1.5,2.1213203435596424,0.8838580485575724,50.0,6.326530612244898,1.7960375656781866
3.168,4.8420000000000005,0.0,1.5,2.25,2.704163456597992,0.8838580485575724,50.0,6.326530612244898,1.6717284663679597
3.168,4.8420000000000005,0.0,2.25,0.0,2.25,0.8838580485575724,50.0,6.326530612244898,2.5797548717930936
